epoch,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr,SPICE
1.0,0.621,0.423,0.278,0.183,0.19,0.449,0.539,0.116
2.0,0.644,0.45299999999999996,0.307,0.20800000000000002,0.205,0.46799999999999997,0.6409999999999999,0.132
3.0,0.647,0.461,0.315,0.21600000000000005,0.209,0.472,0.6679999999999999,0.138
4.0,0.648,0.46399999999999997,0.321,0.222,0.213,0.47700000000000004,0.6920000000000001,0.14300000000000002
5.0,0.6609999999999999,0.475,0.33,0.229,0.214,0.481,0.713,0.146
6.0,0.665,0.479,0.33299999999999996,0.231,0.218,0.485,0.726,0.147
7.0,0.662,0.478,0.332,0.23,0.218,0.483,0.725,0.146
8.0,0.659,0.47700000000000004,0.33399999999999996,0.23399999999999999,0.221,0.486,0.74,0.15
9.0,0.669,0.484,0.339,0.237,0.222,0.489,0.747,0.151
10.0,0.665,0.48100000000000004,0.335,0.23399999999999999,0.221,0.486,0.741,0.15
11.0,0.6629999999999999,0.482,0.338,0.238,0.224,0.489,0.757,0.153
12.0,0.6679999999999999,0.485,0.341,0.239,0.222,0.489,0.758,0.152
13.0,0.669,0.485,0.342,0.242,0.225,0.491,0.762,0.153
14.0,0.6679999999999999,0.485,0.34,0.23800000000000002,0.22399999999999998,0.49,0.757,0.153
15.0,0.6629999999999999,0.479,0.335,0.235,0.224,0.489,0.754,0.153
16.0,0.665,0.483,0.33899999999999997,0.23800000000000002,0.225,0.49,0.764,0.154
17.0,0.664,0.482,0.341,0.241,0.226,0.491,0.765,0.155
